"name","order_id"
"Small Hawaiian pizza no red pepper flakes. Philly cheesesteak sandwich no peppers extra mushrooms fries.",733
"Turkey classic sandwich with French fries.",379
"Side of honey mustard .",379
"20 oz Diet Coke.",379
"10 lemon pepper wings with blue cheese. 1- Grilled chicken salad with Italian dressing. 1- margarita calzone. 1- Greek salad with red wine vinegarette. .",763
"1 Greek Salad add gyro meat sos with extra side of tsaziki sauce with Greek vin; 1 small calzone with peperoni bacon sausage.",381
"Coke .",381
"10 wings hot and 10 wings lemon pepper dry rub. Blue cheese and cilantro peno dip.  chef salad red wine vinegar.",447
"The Zeus small pizza add pepperoni, a Caesar side salad, and a two liter coke.",853
"A large half pepperoni mushroom half cheese",879
"Large Pepperoni and Sausage and cheesy bread. .",459
"1 Medium pizza with pepperoni (extra sauce on the pizza) and 1 side of ranch.",445
"One Italian stallion sandwich add black olives. One turkey Classic add onions. One medium pizza with mushrooms, black olives, and red onions.",465
"Medium pizza with pepperoni, mushrooms and extra cheese.",762
"Large cheese pizza with sausage.
Chicken Caesar salad no Caesar dressing. Balsamic vinaigrette on the side.",456
"Large calzone 
Italian American
 NO onions

50 wings 
25 hot BBQ
25 jerk",154
"1 calzone with pepperoni, mushrooms, black olives and jalepenos. 
1 Green thumb calzone.
1 Chicken Parm Calzone.",457
"Pizza",80
"Dob",80
"Large pepperoni and mushroom pizza  Update: Fries",42
"A lamb gyro with fries.",455
"Medium chicken parm pizza with no onions. Greek salad no onion no olives.",463
"St. Nicks calzone and a side salad with balsamic vinegarette dressing. .",466
"Medium bacon pizza.",462
"Mozzarella sticks.",462
"Pepperoni pizza.",470
"Coke 2 liter.",470
"Medium pepperoni .",524
"2 large pepperoni pizzas, a veggie calzone and an order of fries.",473
"Medium capriccio pizza, large chicken parm pie, side salad with ranch dressing, 2 liter diet coke.",474
"Large, cheese, mushrooms, black olives, tomatoes, ham, and pineapple.",492
"Small Italian american (hamburg no sausage).  Hot wings light on sause with ranch.",481
"Large pepperoni pizza .",475
"Large green thumb pizza, medium rocky balboa pizza.",507
"Thin crust medium veggie delight add olives and pepperoni.  Greek salad.",516
"20 medium wings with ranch dressing. Only flats, no drumsticks please. I'm aware of the extra charge.",520
"Medium italian American and a small cheese pizza.",513
"A large beef and pepperoni pizza an order of garlic rolls, and a garden salad with extra cheese and ranch dressing.",528
"1.medium cheese pizza with onions pepperoni and olives
1 Chicken Caesar salad no Caesar dressing. Balsamic vinaigrette on the side.",518
"One large margarita pizza.",666
"Large Margherita pizza.",772
"Philly cheese steak with fries. No peppers. No onions.",743
"30 wings: half hot and spicy extra saucy: half honey mustard extra saucy with blue cheese.",759
"Large Colbert.",558
"A large pizza with hand tossed crust, light on the sauce, mushrooms, and spinach...baked kinda crispy, a 20 oz Mr. Pibb.",583
"Do u have beer?.",583
"2 bottled coronas.",583
"10 hot wings blue cheese and Greek salad.",586
"2 chicken finger kids meals. 1 small cheese pizza. 1 small Zeus pizza. .",582
"Help.",582
"Did you get my order? .",599
"Philly cheesesteak no peppers no onions with chips .",599
"Chicken parm sandwich no marinara no cheese add lettuce and tomato and mayo with fries.",599
"Thin crust, Canadian bacon, pineapple, cheese, sausage, sauce.",679
"Red pepper flakes.",679
"Large pizza add pepperoni and pineapple.",760
"Mozzarella sticks, blue chips .",854
"Side of ranch.",854
"The Club with no Mayo.",769
"Medium bacon pizza.",769
"Fries.",769
"Medium veggie delight add peperoni, sausage and black olives.  Greek salad and Greek dressing. .",768
"One medium Flavor Country pizza, and one order of bacon provolone fries.",424
"The Sunday special: one with chicken and one with pineapple, and coke for the 2-liter. Also 2 orders of bacon provolone fries, and 1 New York style parme.",574
"san sandwich.",574
"Medium, cheese, chicken, mushrooms, black olives, tomatoes, sweet peppers .",560
"Cinna stix, zeppoles, and chocolate balls.",561
"Italian stallion no tomato, no oil, no vinegar with side salad with ranch dressing.",555
"Philly cheese steak with fries, Italian stallion no tomatoes no oil no vinegar with side salad no mushrooms with ranch dressing.",569
"Medium Margherita pizza cooked extra crispy. 10 wings lemon pepper with ranch. Also 4 extra cilantro-peno ranch.",559
"Cheese steak mushrooms onions large w fry and meatballs parmesan sub w frys .",567
"Greek salad with balsamic vinegarette dressing. Grilled chicken salad with no mushrooms and no cucumbers, red wine vinegarette dressing.",591
"Garlic rolls, large veggie delight pizza hold the peppers.",588
"Italian Stalin sandwich ranch wings",887
"The Club with chips. 20 honey BBQ wings.",888
"The Club with chips. 20 honey BBQ wings.",889
"Small pepperoni pineapple pizza",890
"Garden salad with blue cheese dressing",890
"20 oz diet coke",890
"Philly cheesesteak. No onions. No peppers. Side order of french fries.",891
"Side house salad with red wine and a thin crust medium pepperoni pizza",893
"Pizza",894
"20 piece wings half hot extra saucy half hot teriyaki extra saucy both with blue cheese.",895
"1 Large pepperoni pizza",896
"10 wings hot garlic with blue cheese and cilantropeno. Gyro with extra gyro and extra tzatsiki. Small Greek salad with Greek dressing.",897
"Yvette",898
"I would like an Italian Stallion sandwich. NO salami, NO oil infusion, and NO vinegar.",898
"Large pepperoni pizza",901
"Order Greek Salad, Philly Cheese steak sandwich, and an Italian Stallion sandwich with NO salami, NO oil infusion and NO vinegar.",906
"Philly Cheese Steak with fries",912
